ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10098,1,1,1990,0,0,0,0,0,0,0,0,0,0
10099,1,1,1990,11,0,0,0,0,0,0,0,0,0
10099,2,1,1990,0,15,20,0,0,0,0,0,0,0
10100,1,1,1990,23,0,11,9,24,5,5,8,6,26
10101,1,1,1990,0,0,0,0,0,0,0,0,0,0
10101,2,1,1990,0,0,0,0,0,0,0,0,0,0
10101,3,1,1990,0,0,0,0,0,0,0,0,0,0
10102,1,1,1990,0,0,0,0,0,0,0,0,0,7
10102,2,1,1990,21,21,21,21,21,21,21,21,21,21
10103,1,1,1990,13,13,13,13,13,13,13,13,13,13
10103,2,1,1990,0,0,0,0,0,0,0,0,0,0
10104,0,1,1990,0,0,0,0,0,0,0,0,0,0
10104,1,1,1990,5,5,5,5,5,5,5,5,5,5
10105,1,1,1990,0,0,0,0,0,0,0,0,0,0
10106,1,1,1990,0,0,0,0,0,0,0,0,0,0
10106,2,1,1990,0,0,0,0,0,0,0,0,0,0
10107,1,1,1990,23,14,7,19,34,9,12,19,7,4
10108,1,1,1990,0,0,0,0,0,0,0,0,0,0
10108,2,1,1990,0,0,0,0,0,17,0,11,15,0
10109,0,1,1990,0,0,0,0,0,0,0,0,0,0
10109,1,1,1990,16,12,8,6,4,9,7,11,0,14
10110,1,1,1990,8,0,0,0,0,10,0,18,0,9
10111,1,1,1990,17,17,17,17,17,17,17,17,17,17
10112,1,1,1990,0,11,0,0,0,8,0,0,0,0
10112,2,1,1990,0,0,0,0,0,0,0,0,0,0
10113,1,1,1990,0,0,0,22,0,0,0,0,4,0
10113,2,1,1990,0,0,0,0,0,0,0,0,0,0
10114,1,1,1990,27,27,27,27,27,27,27,27,27,27
10114,2,1,1990,0,0,0,0,0,0,0,0,0,0
10115,1,1,1990,11,11,11,11,11,11,11,11,11,11
10116,1,1,1990,0,0,8,0,0,0,0,0,0,0
10117,1,1,1990,21,21,21,21,21,21,21,21,21,21
10118,1,1,1990,0,0,0,0,0,0,0,0,0,0
10118,2,1,1990,0,0,0,0,0,0,0,0,0,0
10118,3,1,1990,0,0,25,0,0,0,0,0,0,0
10119,1,1,1990,15,0,0,0,0,0,0,0,0,0
10119,2,1,1990,0,0,0,0,0,0,0,0,0,0
10120,1,1,1990,0,0,0,0,0,0,0,0,10,0
10120,2,1,1990,0,0,0,0,0,0,0,0,0,0
10120,3,1,1990,0,0,0,0,0,0,0,0,0,14
10121,1,1,1990,0,9,0,16,0,0,0,0,0,0
10122,1,1,1990,2,2,2,2,2,2,2,2,2,2
10123,0,1,1990,0,0,0,0,0,0,0,0,0,0
10123,1,1,1990,0,0,0,8,0,0,0,0,0,0
10124,1,1,1990,0,0,0,0,0,0,0,0,0,0
10124,2,1,1990,0,0,0,20,0,0,0,0,0,0
10125,1,1,1990,0,0,0,0,0,0,0,0,0,0
10125,2,1,1990,0,0,0,0,0,0,0,0,0,0
10126,1,1,1990,0,0,0,0,0,0,0,0,8,0
10127,0,1,1990,25,37,38,26,32,29,19,21,30,37
10127,1,1,1990,0,0,0,0,0,0,0,0,0,0
10128,0,1,1990,0,0,0,0,0,0,0,0,0,0
10128,1,1,1990,11,15,18,14,4,0,0,0,18,10
10129,1,1,1990,0,0,11,0,0,0,0,0,0,0
10129,2,1,1990,0,5,0,0,0,0,0,0,0,0
10130,0,1,1990,32,32,32,32,32,32,32,32,32,32
10130,1,1,1990,0,0,0,0,0,0,0,0,0,0
10131,1,1,1990,34,8,0,27,13,21,18,18,10,16
10131,2,1,1990,0,0,0,0,23,26,11,0,0,0
10132,1,1,1990,28,26,19,13,34,20,31,9,1,21
10133,1,1,1990,21,21,21,21,21,21,21,21,21,21
10133,2,1,1990,0,0,0,0,0,0,0,0,0,0
10134,0,1,1990,34,34,34,34,34,34,34,34,34,34
10134,1,1,1990,0,0,0,0,0,0,0,11,0,0
10135,1,1,1990,21,21,21,21,21,21,21,21,21,21
10135,2,1,1990,0,0,0,0,0,0,3,0,0,0
10135,3,1,1990,0,0,0,0,0,0,0,16,0,0
10136,1,1,1990,0,0,0,0,0,0,0,0,0,0
10136,2,1,1990,0,0,0,0,0,0,0,0,0,0
10137,1,1,1990,28,28,28,28,28,28,28,28,28,28
10137,2,1,1990,0,0,0,0,0,0,0,0,0,0
10138,1,1,1990,0,0,0,0,0,0,0,0,0,0
10138,2,1,1990,0,0,0,0,0,0,0,0,0,0
10139,1,1,1990,0,0,0,0,0,0,0,0,0,10
10139,2,1,1990,0,0,0,0,0,0,0,0,0,0
10139,3,1,1990,0,0,0,0,0,0,0,0,0,0
10139,4,1,1990,0,0,0,0,0,0,0,0,0,0
10140,1,1,1990,0,0,0,0,0,0,0,0,0,0
10141,1,1,1990,30,18,20,30,30,15,10,22,22,25
10142,1,1,1990,30,0,0,7,23,0,0,0,22,0
10143,1,1,1990,19,19,19,19,19,19,19,19,19,19
10144,1,1,1990,13,33,0,12,15,28,36,8,20,17
10145,1,1,1990,0,0,0,0,0,0,0,0,0,0
10146,1,1,1990,21,0,27,20,0,0,12,20,25,10
10147,0,1,1990,0,0,0,0,0,0,0,0,0,0
10147,1,1,1990,0,0,0,0,0,0,0,0,0,0
10148,1,1,1990,0,0,0,0,0,0,0,0,0,0
10148,2,1,1990,0,0,0,0,0,0,0,0,0,0
10149,1,1,1990,28,28,28,28,28,28,28,28,28,28
10150,1,1,1990,0,0,0,0,0,0,0,0,0,0
10150,2,1,1990,0,0,0,0,0,0,0,0,0,0
10151,1,1,1990,0,0,0,0,0,0,0,0,0,0
10151,2,1,1990,0,0,0,0,0,0,0,0,0,0
